,title,writer,date,rate,content
10,The movie was entertaining but not Oscar-worthy,radrobd,9 April 2020,7,"I found the movie entertaining. I was expecting more duplicity and schemes from the Kim family once they infiltrated the rich family. It moved slow at first but picked up pace towards the middle. While I was entertained, I was shocked that this movie won the 2019 Academy Award for Best Picture over the far superior 1917."
11,One of the most thought provoking films I've ever seen,tmcapitals,5 November 2019,10,"Do you want to see a movie that will have your stomach in knots, anxious during many scenes? Do you want to see a movie that will have you conflicted on who you're rooting for? Regardless of your answers, see Parasite.
Parasite ticks along quietly until it is booming in your ears. The symbolism varies. Sometimes it is obvious, Bong Joon-ho might as well have made the subtitles spell it out. But other times it is more subtle, and you might realize a connection or symbolism days or weeks after. Bong Joon-ho is a master at that.
The conversation that it sparks is worth the $13-20 it costs to see the film. Parasite has made me think more than most films I've seen. Give it a watch, see it with friends or family and the dinner table will have a conversation overflowing with opinions and realizations."
12,I'm baffled by the over the top praise.,dacorn-00765,19 February 2020,6,"The film is interesting, but that's about it. The first hour was really slow, the whole class thing seemed quite familiar. I'm not sure why people are falling over themselves about this film, maybe since it was Korean yet with an accessible story and familiar film language that it suddenly moved westerners to 'see the light'? Anyway, the second half twists and turns struck me more as a wacky story line I would have seen on a soap opera back in the day like Young and the Restless or Days of our Lives. Overall, I'm more critical of the critics than of the film. I recommend seeing this, it's worth a look but all the Oscars and 'best film of the decade' stuff is incomprehensible."
13,OVERRATED - OVERRATED - OVERRATED,Mustang92,31 December 2019,5,"This movie is not a ""masterpiece"" by any means. And all the apparent hype it's getting? Why? Is it because this is a foreign film trying to be an ""American film""? (That is, trying to be an American ""genre"" film?)THE GOOD:The actors are good.Some good cinematography. Definitely some cool scenes, like the flooding late in the film.The twist near the middle of the film is a good twist. However, it's like 50 minutes in, and it's too late. The film is semi-boring up to that point.THE BAD:We've all seen those less-than-stellar films, where the criminals make one stupid horrible decision after another. Not the comedies where it's supposed to be funny or dumb, but the serious films. And you sit there thinking, ""Man, these criminals are effing morons, it's just NOT believable. You've seen those, right? Well, this is one of those.I could suspend my disbelief over one bad decision, even two. But every single one? It's just not believable, because the criminals are good at pulling off their cons and getting all employed by the wealthy family. But once they're all in and making buck... then they all become stupid? Doesn't work.The bad decisions start when the wealthy family goes camping, and the criminals decide to hang out, get drunk and make a mess in the wealthy family's living room. Even one of them foreshadows the wealthy family coming home unexpectedly by mentioning it as a ""what if."" Next bad decision is they let in the former housekeeper who shows up unexpectedly. Really??Then the next bad decision is how they handle the housekeeper and her husband. Once the criminals are being held hostage by the threat of disclosure, why wouldn't even just one of them think of trying to negotiate something? Oh, sure, one of them eventually does, but like 30 minutes later when it's too late.The film feels too slow until we get to the twist in the story. Twist should really have happened within maybe first 30 minutes. Not halfway through the movie. And then, when it does happen, we're down the road of the criminal family making multiple bad decisions.Minor point, but the housekeeper's husband who's been living under the house for something like 4 years, looked too healthy. Someone living in cave-like conditions for 4 years with no sun, is not going to look healthy.All in all, not the worst film I've ever seen, but NOT deserving of the high praise and ratings it's getting here. And not deserving of the Academy Award for Best Picture. Sorry."
14,Society can only be as strong as its most vulnerable people,southbankcinema,26 May 2019,No rating,"Parasite (Gisaengchung), the 2019 film by Bong Joon-ho, taps into the tensions caused by the widening gap between rich and poor around the world.The film, delivering a strong social commentary that can be interpreted at a universal level, follows two families on opposite sides of the social and financial totem pole. It is a darkly entertaining and suspenseful look at a poor but incredibly cunning family living in a filthy basement and the rich Park family, the polar opposites of our protagonists. The film makes you play a guessing game of which of the two families are the most rotten.Winner of the Palme d'Or at the 2019 Cannes Film Festival, Parasite shows the extent to which we go to in order to live a comfortable life. The devil is in the detail in this grotesque critique of social inequality and the psychology of money."
15,Multilayered portrayal of the real Korea,perica-43151,16 January 2020,9,"This is a movie about a class struggle in South Korea, like what movie ""Us"" attempts to do but done properly. It is a stark reminder of what true living standards for most South Koreans look like, and its realism is very painful. Few are aware of the fact that up to the 1980s, South Korea was in fact more impoverished than North Korea, and it was only late that the situation reversed with famines of the 90s etc, but many people still live miserable lives, and situation is very similar to that in China, where a few got gloriously rich but the urban masses still live in bug infested cheap dwellings.Some crafty members of this underclass manage to con contemptuous rich man into employing them as his servants. For many Asians smell is a way to express utter contempt, and this is often directed against the white people, who, being able to process milk, smell ""like butter"" and are seen in rac ist light as unclean, but the same rac ist contempt is directed towards the poor. The poor accept these valuations and fight for the crumbles, like roaches in the dark, but in life and death situations, resentment might boil up and the contempt might cost the rich their empty heads.The movie paints a sad picture of modern East Asian societies, with many subtle points, criticizes their culture and emulation of the America, with a few cruel but precise strokes. The sheer talent of the Korean filmmaker, but also the fact that West likes movies from foreign countries that are self bashing, allowing the worst condescension rooted in colonialism that failed miserably in East Asia to thrive, one more reason to cheer this slightly overrated movie."
16,It's so metaphorical,joesiegel,30 January 2020,9,"""It's so metaphorical"" is what Kevin says when they show him Da-Song's paint, he makes a statement without knowing absolutely nothing about what he is talking about, most critics of this movie say exactly that ""It's so metaphorical"" obviously Most know what you are talking about, when writing something about a movie I have to be 100% sure that I have understood.""It's so metaphorical"" This comment on this movie is quite fair and precise; Parasite is built on the basis of visual symbolism that for some it will be an easy task to find them and for others a little more difficult because it also does not put this type of visual metaphors in the foreground, sometimes leaves it to the public's interpretation and in others simply play with the camera and film techniques to tell us the story, a clear example is the first time Kevin visits the Park house, the house is shown in a low-angle shot from the ground showing the superiority of the house and the environment over the character, the rain scene in the middle of the movie is simply wonderful: the family plummets to its miserable reality and the camera descends in a peculiar way, as there are many examples throughout the film; the fight over the cell phone in the Park house looks like an animal fight, the shots in the Kim's house are closed and in the immense Park house they are open and wide, a lot of voyeuristic Hitchcokian shots and provocateurs of vertigo, the symbolic use of the stairs throughout the film, something quite coherent since the film speaks especially about the socioeconomic classes and the social and race stairs, are some simply steps over others. Who are the real Parasites? the Kims or the Parks? the film plays with this question and leaves the answer to the interpretation, the Kim who represent the great majority of the poor class in Korea and in the world act as parasites that will gradually owe the class that is above them, taking advantage of the comforts that it offers them without any difficulty, living under the ground and in precarious conditions, but on the other hand the Park are practically useless beings, there is nothing they can do: their children are educated by others, their clothes are ironed and washed by others and their food is made by others.Kim's family at least shows that Kevin is good at Languages, even better than many college students, his sister has great skills that lead her to create the perfect plan, even she manages to do what no sophisticated teacher did; control and support Da-Song, but due to their poverty their hopes that they can take advantage of this kind of talent are minimal. The final shot of the movie plays with us and gives the perfect blow to culminate this story: Kevin writes a letter to his dad that he probably won't be able to read, while he has a dream, after the dream the shot is the same that of the beginning, he It shows the exterior of the house from the basement this time without sun, showing that he it is where it began and that now its life is dark and empty of hopes."
17,A black comedy on social inequality,CineMuseFilms,28 December 2019,8,"There is no shortage of films that depict the injustice of social inequality but originality is scarce. With a large proportion of its population below the poverty line, it is noteworthy that a filmmaker from South Korea has produced a work that has attracted almost universal acclaim. Parasite (2019)generates a great deal of conversation but be warned: it is not a film for everyone, especially those averse to gory endings.If you step back from the story's twists and turns, the narrative premise is simple. A family of petty crooks living in abject poverty get lucky as, one by one, each tricks their way into being employed by the same heartlessly wealthy family in roles like tutor, driver, and housekeeper. The gullible family is easy to deceive, while the crooks manufacture various scenarios to their own advantage. The occupation of the luxurious home by the crooks adds a new meaning to the concept of home invasion. However, the plan comes un-stuck when they find a secret dungeon that leads to horrific consequences.The film takes too much time in developing the central premise and various sub-plots, and more descriptive prose could be offered here about what actually happens. But that is not the point of the film. Director Joon-ho Bong paints an intricate portrait of the normalisation of poverty and class privilege, with both sets of family never questioning their place in South Korea's social order. This acceptance and its destructiveness of the human spirit makes change impossible and condemns Korean society to moral bankruptcy.There is more to this film than political discourse. As a black comedy, it is sprinkled with funny although improbable moments and the filming style expresses the polemic in obvious ways. Juxtaposing the world occupied by a smelly cramped underclass with the opulent world of the rich is low-hanging fruit. One can also find elements of magical fantasy, as it requires an unequivocal suspension of disbelief to accept that a family of losers can so easily dupe a family of high achievers. The acting tends towards wooden, and it is difficult to warm to any particular character. The film's climax offers little other than an ambivalent balance between hope and nihilism, leaving viewers to decide which family are the parasites.For many, the critical pendulum swings towards the 'masterpiece' label. But it is perhaps closer to reality to describe this as an original, engaging, and disturbing tale of endemic class tension, oppression, and helplessness. Although tenuous, the message has universal relevance."
18,"FUNNY, TURNS SUDDENLY TWISTED, THEN SAD",jmholmes-73727,4 November 2019,10,"This movie is so masterfully written and presented with a large cast that older audiences will realize how rare movies like this have become. Its enjoyment comes from getting to know the members of two extremely different families, one very poor, the other very rich. How their lives come together is the wickedly enjoyable first half; then, in the second half the house of cards begins to shake and finally collapse with a fury we both dread - and perhaps even enjoy. Though our enjoyment probably has as much to do with the movie-making skills than with the nasty turn of events in the violent final scenes.
If you see only one foreign language film this year, this should be it. Exciting and provocative throughout, it is wonderfully acted and packed with significance for all who live in a polarized society where so many live in luxury, while others live in comparative squalor just a few blocks away. Deserves all the accolades it has already - and surely will continue - to receive."
19,Whose the parasite and whose the cow?!,dougal79,17 August 2019,9,"What an amazing film! Clearly an essay on the class divide. Writing lovable but nasty people is tough, but perfectly executed here.They quite clearly cross the line, and when I mean ""they"" I mean bother the working class and the upper class.
You could easily argue that ""parasite"" refers to one family trying to suck another family dry. Or that the upper class is draining the labour of the lower class, and expecting them to be grateful about it too!
There is also something about the American Indian theme, a metaphor for dying cultural traditions which are being replaced by modernity? Nature is dog eat dog? Or is it a homage to an ""idyllic"" past where Native American culture was relatively classless?Either way a must watch if you can handle subtitles!"
20,"unpredictable, eerie and with original horror plot",davyu-73849,18 January 2020,8,"Nowadays, the horror movies seem to be just about blood, gores, and fear-inducing trite. Parasite is breaking the mold in this category as well as in the realm of Hollywood. The synopsis won't be needed as you need to see it for yourself, and for your own good. The fact that Hollywood has already adapted its plot and is currently in the works with the help of its director proves its ingenuity."
21,Thought It Might Win Best Foreign Movie,boblipton,9 December 2021,10,"When the buddy who got into college tells him he's moving to the US, and he's passing on the 14-year-old he's been tutoring -- just tell 'em you're enrolled in college, even though you aren't -- the son of a family so low class they've sunk through the foundation finds them very nice, very accepting, and very clueless. So he and his layabout family get all the help fired; his sister is hired as an art psychologist to help the sister, the father as the new chauffeur, and the mother as the cook/housekeeper. Yet even though you don't see them, there are vermin living in the foundations, and they come out when the people in charge aren't around.It's a movie that starts out as a situation comedy and then abruptly changes gears into horror, with a script that handles the theme of the people we don't see because they're not our problem in a way that jostles the boundaries of symbolic and mimetic fiction in a very disturbing fashion. When I saw it in a theater during its New York run, I was impressed. I was convinced it would be nominated for Best Foreign Movie, and might even win!"
22,simple opinion without any spoilers,Haneenho,10 April 2020,6,"1.This movie is too over rated, I don't know, maybe it is something wrong with me because so many people appreciates this film superlatively...2. All the characters are pathetically unlikable. They only show flaws. You don't want to be them; you don't want to be with them ... not at the beginning, nor in the middle, nor in the end.3. This lowlife 4-member family was at bay and struggled to a barely survived condition, the husband/father was unemployed for a very long time, the wife was nothing but a mean heartless woman, the son and the daughter had failed the college entry exams for so many times. This helpless and hopeless family couldn't simply become a well practiced con-artist family overnight. If they were such great scammers, they would not have fallen so low and so helpless for such a long time. They don't have money to afford a dignified basic living standard. They would not be possible to suddenly become expert con-artist so easy and so soon.4. I don't understand what the intention of the director is? What does he want to explain or to prove? Is it a critic of social inequalities? Is it a thriller? A comedy? I don't know and none of these styles is addressed adequately."
23,Nonsense,jonaswilmann,16 February 2020,3,"A veteran chauffeur, his wife and their kid wonders, one fluent in English, the other an art wiz with expert computer skills and mastermind deception skills, are all unemployed (!) and lives in a scummy basement, where they fold pizza boxes for peanuts. With wildly implausible easy they con a rich family (ridiculous caricatures of rich people who apparently got rich by being soooo stupid) into employing them. First the son, then the sister, then the father ... you get it ... sleep-inducing snail's pace to the predictable setup where the entire family has leeched their way into the rich people's home. Once inside the home, the rich family goes on a vacation, and the poor family literally start ripping the home apart in a stupid drunken frenzy?? The old housekeeper (which they got rid of in a horrible way, causing a dangerous allergic reaction) shows up, and for some reason they let her in?? Turns out the old housekeeper is keeping her husband in a hidden basement under the house, where he has been living for four years (best explanation to why is that he is hiding from loan sharks). He has been flickering the lights morse code-style which the small boy of the house has deciphered (but he never tells anyone and it is therefore utterly pointless). Each family now knows each other's secret, so they are in a stalemate. Right? Movie apparently forgets this, an instead we end up with a big fight. A lot of nonsense. A flood. Then a lot more violence. Poor father kills wealthy father (because of his arrogance towards the poor which have a certain odor), then leaves his own two wounded children to die, running to hide in the basement (he would actually have to step over his son, who lies half dead in an enormous puddle of blood in order to get to the basement, but I think the director forgot this - add it to the five million other plot holes!). At some point near the ending - where the movie takes another tonal shift towards the sentimental - I realized that we are actually supposed to sympathize with the poor family, despite how EVIl they have acted the entire movie ... This movie is wildly implausible, first half wildly predictable, full of weird tonal changes and plot holes. Everything is overly constructed to underline some muddled point about social inequality, but nothing really makes sense. I loved ""Snowpiercer"" but this is total crap."
24,Great,0U,4 February 2020,No rating,The most original film of 2019 and it is wickedly funny and darkly disturbing all at the same time. The narrative and the actors were excellent. One of the better endings of a movie in quite a while. Class warfare at its best.
25,Totally Unique,Hitchcoc,7 August 2020,9,"Usually I don't read reviews before seeing a film. This one, however, I did, and happily so. First of all, it was good to know what cinema in Korea is all about. We need to shed our cultural biases, including ""how"" to make films. This had a very clever plot and an engaging group of characters. The title, I assume, means the principle figures have managed to infest a body and then use it to sustain themselves. I hope to see more from this director in the future."
26,The Korean house of social classes,mazzobr,1 December 2019,10,"When a smart South Korea poor family decides to escalate the social ladder and take advantage of a rich family offering it suited services to their familiar problems firstly they have to displace the former employees. They did not realize nor the family living in the house that in the underground of it there was an atomic bunker. I was built to face any attack from North Korea. The brokers didn't say that to their clients to maintain the market price. Later on, the new employees well established in the house will find out that part of the replaced employees' family lives in this secret basement. The film displays the South Korea class conflicts as a metaphor for growing poverty engulfing the population with rampant disemployment. In this fantastic realism film, all social classes are placed in the same house: poor, middle class and rich. Old resentments and prejudices escalate as time passes. A revolution, interests conciliation or a violent upheaval without winners may develop as those class representatives have to negotiate when and how to enjoy this gorgeous house built by a famous Korean architect. This is a masterpiece."
27,Oh Lucy!,JRConsidine,8 February 2020,8,"The film starts off as a Lucille Ball/Vivian Vance escapade and ends as Quentin Tarantino drama. I guess that's what we call fluidity.
Parasite is terrific. The cast is embraceable. The actors were recognized by the Screen Actor's Guild for the ""Outstanding Performance by a Cast in a Motion Picture."" Hurray for Parasite."
28,Plato Would have Loved,tgrafflin,22 January 2020,10,"I spent some time with the movie ""Parasite"" tonight. It captured me in it's symbiotic web. I'm sure there is not a single adjective that could describe it adequately...so I won't attempt that magficent accomplishment. Parasite tugged on every ounce of my acquired knowledge in philosophy, literature and Korean (yes...I do have a very tiny bit of that :) ) The set design was amazing...and it may give 1917 a run for it's money.The stairs...oh so thoroughly magnificent in the simplicity yet the most complex of ""metaphors"" (yeah, I made myself giggle on that one.) I was instantly reminiscent of my Philosophy 101 ""Allegory of the Cave""....""I went down."" Thank you Herr Hanak.Okay, I've lost all of you, I loved this movie for the Best Foreign Film...mostly because my theater neighbors tonight ate every kind of snack bar food possible...I will have nightmares about the gnawing, they chatted and checked their phones throughout...then they pottied and were able to read the screen....and then they seemed confused. Wonder why.My feeling about awards..knowing the methodolgy of the voting....this film will not be best picture on Oscar night."
29,"All-encompasing, unpredictable, engaging",bradyoconnell,20 January 2020,10,This movie had it all. The premise was so strange and unique. I never knew what was going to happen next. It touched on important issues around class and family. Overall just excellent. One of the few movies that deserves 10 stars
